,FullName
0,ときのそら
1,ロボ子さん
2,夜空メル
3,アキ・ローゼンタール
4,赤井はあと
5,白上フブキ
6,夏色まつり
7,湊あくあ
8,紫咲シオン
9,百鬼あやめ
10,癒月ちょこ
11,大空スバル
12,AZKi
13,大神ミオ
14,さくらみこ
15,猫又おかゆ
16,戌神ころね
17,星街すいせい
18,兎田ぺこら
19,不知火フレア
20,白銀ノエル
21,宝鐘マリン
22,天音かなた
23,角巻わため
24,常闇トワ
25,姫森ルーナ
26,雪花ラミィ
27,桃鈴ねね
28,獅白ぼたん
29,尾丸ポルカ
30,ラプラス・ダークネス
31,鷹嶺ルイ
32,博衣こより
33,沙花叉クロヱ
34,風真いろは
35,アユンダ・リス
36,ムーナ・ホシノヴァ
37,アイラニ・イオフィフティーン
38,クレイジー・オリー
39,アーニャ・メルフィッサ
40,パヴォリア・レイネ
41,ベスティア・ゼータ
42,カエラ・コヴァルスキア
43,こぼ・かなえる
44,森カリオペ
45,小鳥遊キアラ
46,一伊那尓栖
47,がうる・ぐら
48,ワトソン・アメリア
49,IRyS
50,セレス・ファウナ
51,オーロ・クロニー
52,七詩ムメイ
53,ハコス・ベールズ
54,桐生ココ
55,九十九佐命
56,友人A
57,春先のどか
